Admin 2 FIPS Code;Province/State;Admin 2 Level (City/County/Borough/Region);Date;Total Death;Total Confirmed;location
6037;California;Los Angeles;1 10 2022;33603;3456407;34.30828379, -118.2282411
6037;California;Los Angeles;30 09 2022;33603;3456407;34.30828379, -118.2282411
6037;California;Los Angeles;25 09 2022;33532;3447249;34.30828379, -118.2282411
6037;California;Los Angeles;24 09 2022;33532;3447249;34.30828379, -118.2282411
6037;California;Los Angeles;19 09 2022;33483;3441113;34.30828379, -118.2282411
6037;California;Los Angeles;17 09 2022;33447;3437648;34.30828379, -118.2282411
6037;California;Los Angeles;13 09 2022;33398;3431991;34.30828379, -118.2282411
6037;California;Los Angeles;10 09 2022;33348;3425863;34.30828379, -118.2282411
6037;California;Los Angeles;5 09 2022;33209;3418798;34.30828379, -118.2282411
6037;California;Los Angeles;1 09 2022;33171;3410937;34.30828379, -118.2282411
6037;California;Los Angeles;31 08 2022;33155;3408413;34.30828379, -118.2282411
6037;California;Los Angeles;27 08 2022;33096;3396657;34.30828379, -118.2282411
6037;California;Los Angeles;23 08 2022;33041;3386161;34.30828379, -118.2282411
6037;California;Los Angeles;22 08 2022;33027;3383792;34.30828379, -118.2282411
6037;California;Los Angeles;21 08 2022;32991;3371673;34.30828379, -118.2282411
6037;California;Los Angeles;16 08 2022;32961;3363706;34.30828379, -118.2282411
6037;California;Los Angeles;15 08 2022;32948;3361061;34.30828379, -118.2282411
6037;California;Los Angeles;9 08 2022;32869;3338352;34.30828379, -118.2282411
6037;California;Los Angeles;31 07 2022;32708;3292692;34.30828379, -118.2282411
6037;California;Los Angeles;25 07 2022;32637;3268588;34.30828379, -118.2282411
6037;California;Los Angeles;24 07 2022;32604;3253323;34.30828379, -118.2282411
6037;California;Los Angeles;22 07 2022;32604;3253323;34.30828379, -118.2282411
6037;California;Los Angeles;15 07 2022;32508;3207071;34.30828379, -118.2282411
6037;California;Los Angeles;8 07 2022;32397;3153690;34.30828379, -118.2282411
6037;California;Los Angeles;22 06 2022;32271;3076849;34.30828379, -118.2282411
6037;California;Los Angeles;17 06 2022;32250;3057004;34.30828379, -118.2282411
6037;California;Los Angeles;16 06 2022;32245;3051930;34.30828379, -118.2282411
6037;California;Los Angeles;15 06 2022;32236;3047469;34.30828379, -118.2282411
6037;California;Los Angeles;7 06 2022;32178;3008619;34.30828379, -118.2282411
6037;California;Los Angeles;27 05 2022;32117;2961673;34.30828379, -118.2282411
6037;California;Los Angeles;29 05 2022;32117;2961673;34.30828379, -118.2282411
6037;California;Los Angeles;26 05 2022;32109;2955954;34.30828379, -118.2282411
6037;California;Los Angeles;24 05 2022;32095;2945669;34.30828379, -118.2282411
6037;California;Los Angeles;20 05 2022;32074;2929950;34.30828379, -118.2282411
6037;California;Los Angeles;19 05 2022;32064;2926848;34.30828379, -118.2282411
6037;California;Los Angeles;15 05 2022;32022;2907721;34.30828379, -118.2282411
6037;California;Los Angeles;11 05 2022;32007;2900449;34.30828379, -118.2282411
6037;California;Los Angeles;10 05 2022;32000;2897513;34.30828379, -118.2282411
6037;California;Los Angeles;3 05 2022;31977;2879817;34.30828379, -118.2282411
6037;California;Los Angeles;28 04 2022;31959;2869785;34.30828379, -118.2282411
6037;California;Los Angeles;26 04 2022;31941;2865825;34.30828379, -118.2282411
6037;California;Los Angeles;15 04 2022;31852;2850480;34.30828379, -118.2282411
6037;California;Los Angeles;11 04 2022;31807;2846303;34.30828379, -118.2282411
6037;California;Los Angeles;10 04 2022;31770;2843599;34.30828379, -118.2282411
6037;California;Los Angeles;5 04 2022;31722;2837430;34.30828379, -118.2282411
6037;California;Los Angeles;1 04 2022;31683;2834317;34.30828379, -118.2282411
6037;California;Los Angeles;29 03 2022;31626;2831655;34.30828379, -118.2282411
6037;California;Los Angeles;28 03 2022;31619;2831103;34.30828379, -118.2282411
6037;California;Los Angeles;25 03 2022;31576;2829091;34.30828379, -118.2282411
6037;California;Los Angeles;22 03 2022;31508;2826077;34.30828379, -118.2282411
6037;California;Los Angeles;21 03 2022;31491;2825423;34.30828379, -118.2282411
6037;California;Los Angeles;20 03 2022;31462;2823354;34.30828379, -118.2282411
6037;California;Los Angeles;18 03 2022;31443;2820159;34.30828379, -118.2282411
6037;California;Los Angeles;17 03 2022;31408;2817190;34.30828379, -118.2282411
6037;California;Los Angeles;13 03 2022;31275;2811864;34.30828379, -118.2282411
6037;California;Los Angeles;8 03 2022;31084;2805949;34.30828379, -118.2282411
6037;California;Los Angeles;6 03 2022;31005;2803476;34.30828379, -118.2282411
6037;California;Los Angeles;2 03 2022;30853;2799169;34.30828379, -118.2282411
6037;California;Los Angeles;1 03 2022;30773;2797628;34.30828379, -118.2282411
6037;California;Los Angeles;21 02 2022;30376;2784276;34.30828379, -118.2282411
